Country;GDP per capita (USD);Life satisfaction
Afghanistan;20.338.044;32.033
Albania;11.586.834;4.959
Armenia;13.653.764;46.768
Azerbaijan;14.867.943;5.212
Bangladesh;35.116.455;4.694
Belgium;48.769.727;6.834
Benin;33.231.445;50.452
Bolivia;7.845.171;57.159
Bosnia and Herzegovina;14.509.266;58.131
Brazil;14.063.982;63.301
Bulgaria;22.379.094;52.655
Burundi;73.106.323;37.753
Cambodia;41.915.664;48.304
Cameroon;36.664.106;51.418
Canada;46.064.254;71.033
Chad;15.190.367;43.554
Chile;23.324.525;61.719
Colombia;13.448.933;60.124
Comoros;29.891.704;42.886
Cyprus;38.816.094;62.235
Czechia;38511.27;69.647
Denmark;55819.91;76.195
Dominican Republic;17.003.014;55.451
Ecuador;10.329.199;5.764
Egypt;11.951.447;42.827
El Salvador;7.982.626;60.605
Estonia;35257.16;61.888
France;42.320.523;66.899
Gabon;14.320.845;48.518
Gambia;21.567.546;5.051
Georgia;13.966.326;48.914
Germany;51.423.234;71.545
Ghana;54.457.256;50.884
Greece;27072.62;57.226
Guatemala;8.393.284;64.345
Guinea;26.708.232;49.843
Haiti;29.342.458;36.149
Honduras;51.383.853;59.192
Hong Kong;56.153.973;54.767
Hungary;31.098.396;59.916
